"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\Node Projects\tseten-app\backend\app.js", "JavaScript", 4, -4, -1, -1
"d:\Node Projects\tseten-app\backend\routes\api\contact.js", "JavaScript", 49, 13, 6, 68
"Total", "-", 53, 9, 5, 67
